Id,Season,SiteId,Site,Nestbox,CH1903X,CH1903Y,CH1903Altitude,WGS84Latitude,WGS84Longitude,WGS84Altitude,LayingDate,LayingDateErrorMargin,PredictedLayingDate,PredictedLayingDateErrorMargin,MaleRing,FemaleRing,FailureReason,FailureDate,SizeOriginally,SizeAfterCrossFostering,IncompleteEggCount,HatchSizeBiolObserved,HatchSizeBiolSupposed,HatchSizeRaisedObserved,HatchSizeRaisedSupposed,UnhatchedEggs,InfertileEggs,DeadEmbryos,AbandonedEggs,BrokenEggs,Fledglings,AnnClutchBySite,AnnClutchByMale,AnnClutchByFemale,CrossFostered,CrossFosteredPartial,ClutchIdRaised1,ClutchIdRaised2,ClutchIdRaised3,EggsTakenForCrossFostering,CrossFosteringType,SuccessfulClutchNumberByNestbox,SuccessfulClutchNumberBySite,SuccessfulClutchNumberByMaleRing,SuccessfulClutchNumberByFemaleRing,AttemptedClutchNumberByNestbox,AttemptedClutchNumberBySite,AttemptedClutchNumberByMaleRing,AttemptedClutchNumberByFemaleRing,BornEggs,BornAliveEggs,BornDeadEggs,BornDeadEggsUnspecified,BornDeadEggsInfertile,BornDeadEggsEmbryo,BornDeadEggsAbandoned,BornDeadEggsBroken,BornUnobservedEggs,RaisedEggs,RaisedAliveEggs,RaisedDeadEggs,RaisedDeadEggsUnspecified,RaisedDeadEggsInfertile,RaisedDeadEggsEmbryo,RaisedDeadEggsAbandoned,RaisedDeadEggsBroken,RaisedUnobservedEggs,BornBirds,BornNestlingsEstimated,BornNestlingsObserved,BornFledglingsEstimated,BornFledglingsObserved,BornAdultsEstimated,BornAdultsObserved,HatchBirds,HatchNestlingsEstimated,HatchNestlingsObserved,HatchFledglingsEstimated,HatchFledglingsObserved,HatchAdultsEstimated,HatchAdultsObserved,RaisedBirds,RaisedNestlingsEstimated,RaisedNestlingsObserved,RaisedFledglingsEstimated,RaisedFledglingsObserved,RaisedAdultsEstimated,RaisedAdultsObserved
564,2000,104,Salavaux T,104B,,,,,,,25/03/2000,,,,,877928,,,7,7,,,,,,,,,,,0,1,,1,0,,,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,2000,106,Sassel,106A,,,,,,,21/03/2000,,,,889045,877933,,,7,7,,,,,,0,0,0,,,6,1,1,1,1,1,552,565,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,7,7,7,6,0,6,0,7,7,7,6,0,6,0,7,7,7,6,0,6,0
566,2000,105,Sauge,105A,,,,,,,18/04/2000,,,,877944,877943,,,6,6,,,,,,,,,,,0,1,1,1,0,,566,,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
567,2000,107,Seiry,107,,,,,,,14/03/2000,,,,877724,877722,,,7,7,,,,,,0,0,0,,,7,1,1,1,1,1,522,567,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,7,7,7,7,0,7,0,7,7,7,7,0,7,0,7,7,7,7,0,7,0
568,2000,116,Trey,116,,,,,,,11/03/2000,,,,889017,877819,,,9,9,,,,,,0,0,0,,,8,1,1,1,1,1,537,568,,,,1,1,1,1,1,1,1,1,9,9,0,0,0,0,0,0,8,9,9,0,0,0,0,0,0,8,8,8,8,8,1,8,1,8,8,8,8,1,8,1,8,8,8,8,1,8,1
569,2000,117,Vallon51,117B,,,,,,,02/04/2000,,,,877739,887023,,,5,5,,,,,,0,0,0,,,3,1,4,1,0,,569,,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,4,0,4,0,5,5,5,4,0,4,0,5,5,5,4,0,4,0
570,2000,119,Vesin,119A,,,,,,,24/03/2000,,,,877761,877919,,,9,9,,,,,,3,2,1,,,6,1,1,1,1,1,553,570,,,,1,1,1,1,1,1,1,1,9,6,3,0,2,1,0,0,8,9,6,3,0,2,1,0,0,8,6,6,6,6,5,6,5,6,6,6,6,5,6,5,6,6,6,6,6,6,6
571,2000,122,Villeneuve LaVillaire,122B,,,,,,,01/07/2000,,,,,,,,,4,,,,,,0,,,,,4,1,,,0,,571,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
572,2000,124,Wallenried Blan,124,,,,,,,28/03/2000,,,,,877729,,,5,5,,,,,,0,0,0,,,5,1,,1,0,,572,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,5,2,5,0,5,5,5,5,2,5,0,5,5,5,5,2,5,0
573,2000,126,Wallenried F,126,,,,,,,24/03/2000,,,,877674,871409,,,8,8,,,,,,0,0,0,,,7,1,1,1,0,,573,,,,,1,1,1,1,1,1,1,1,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,7,7,7,7,0,7,0,7,7,7,7,0,7,0,7,7,7,7,0,7,0
574,2001,1,Aumont vieux,1C,,,,,,,07/05/2001,,,,889193,877920,,,6,6,,,,,,1,1,0,,,4,1,1,1,1,1,574,626,,,,1,1,1,1,1,1,1,1,6,5,1,0,1,0,0,0,5,6,5,1,0,1,0,0,0,5,5,5,5,5,4,5,2,5,5,5,5,4,5,2,4,4,4,4,3,4,1
575,2001,2,Autavaux Moillets,2,,,,,,,15/05/2001,,,,881671,862783,,,6,6,,,,,,1,1,0,,,3,1,4,1,1,1,575,620,,,,1,1,2,1,1,1,2,1,6,5,1,0,1,0,0,0,5,6,5,1,0,1,0,0,0,5,4,4,4,3,3,3,0,4,4,4,3,3,3,0,4,4,4,3,2,3,1
576,2001,3,Autavaux TV,3A,,,,,,,16/04/2001,,,,881671,877511,,,5,5,,,,,,0,0,0,,,4,1,4,,1,1,576,623,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,4,2,4,1,5,5,5,4,2,4,1,5,5,5,4,3,4,1
577,2001,5,Avenches Paquis,5,,,,,,,19/05/2001,,,,889095,889313,,,7,7,,,,,,0,0,0,,,4,1,1,1,1,1,577,595,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,5,5,5,4,2,4,0,5,5,5,4,2,4,0,5,5,5,4,3,4,0
578,2001,6,Avenches Rueyres,6,,,,,,,08/05/2001,,,,889393,889063,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,578,617,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,6,2,6,0,6,6,6,6,2,6,0,6,6,6,6,3,6,1
579,2001,7,Avenches Russalet,7,,,,,,,28/04/2001,,,,,877938,,,7,7,,,,,,1,0,1,,,3,1,,1,1,1,579,587,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,7,7,7,3,2,3,1,7,7,7,3,2,3,1,7,7,7,3,0,3,0
580,2001,9,Bellechasse,9A,,,,,,,06/05/2001,,,,877927,886258,,,5,5,,,,,,0,0,0,,,5,1,1,1,1,1,580,603,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,4,4,4,4,2,4,0,4,4,4,4,2,4,0,5,5,5,5,2,5,0
581,2001,14,Chables vieux,14C,,,,,,,26/04/2001,,,,871344,887211,,,6,6,,,,,,0,0,0,,,4,1,1,1,1,1,581,586,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,4,2,4,0,6,6,6,4,2,4,0,5,5,5,4,3,4,1
582,2001,15,Champmartin,15C,,,,,,,11/05/2001,,,,877811,877945,,,5,5,,,,,,1,0,1,,,3,1,1,1,1,1,582,615,,,,1,1,1,1,1,1,1,1,5,4,1,0,0,1,0,0,4,5,4,1,0,0,1,0,0,4,4,4,4,4,3,4,2,4,4,4,4,3,4,2,4,4,4,3,3,3,3
583,2001,18,Cheiry Pénétrol,18,,,,,,,08/05/2001,,,,,889192,,,4,4,,,,,,,,,,,0,1,,1,0,,,,,,,1,1,,1,1,1,,1,4,4,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,2001,20,Chesard,20B,,,,,,,06/04/2001,,,,877175,871826,,,5,5,,,,,,1,1,0,,,4,1,1,1,1,1,584,614,,,,1,1,1,1,1,1,1,1,5,4,1,0,1,0,0,0,4,5,4,1,0,1,0,0,0,4,4,4,4,4,2,4,0,4,4,4,4,2,4,0,4,4,4,4,2,4,0
585,2001,22,Cheyres,22,,,,,,,14/05/2001,,,,877988,890305,,,7,7,,,,,,0,0,0,,,5,1,1,1,1,1,585,616,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,6,6,6,5,3,5,1,6,6,6,5,3,5,1,6,6,6,5,2,5,0
586,2001,23,Constantine,23,,,,,,,27/04/2001,,,,889328,889179,,,6,6,,,,,,0,0,0,,,4,1,1,1,1,1,581,595,586,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,5,4,5,2,6,6,6,5,4,5,2,6,6,6,4,2,4,0
587,2001,24,Corcelles CimAlpes,24,,,,,,,01/05/2001,,,,877954,877955,,,8,8,,,,,,0,0,0,,,7,1,1,1,1,1,579,587,,,,1,1,1,1,1,1,1,1,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,7,7,7,7,3,7,3,7,7,7,7,3,7,3,7,7,7,7,5,7,4
588,2001,28,Corcelles GDLV,28A,,,,,,,11/05/2001,,,,889280,877560,,,7,7,,,,,,3,0,3,,,4,1,1,1,1,1,588,610,,,,1,1,1,1,1,1,1,1,7,4,3,0,0,3,0,0,6,7,4,3,0,0,3,0,0,6,4,4,4,4,2,4,1,4,4,4,4,2,4,1,4,4,4,4,1,4,0
589,2001,29,Corcelles Maupas,29,,,,,,,14/07/2001,,,,889279,889476,,,7,7,,,,,,,,,,,0,1,1,1,0,,,,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2001,34,Cugy S,34A,,,,,,,08/04/2001,,,,877188,889169,,,4,4,,,,,,1,1,0,,,3,1,1,1,1,1,590,594,,,,1,1,1,1,1,1,1,1,4,3,1,0,1,0,0,0,3,4,3,1,0,1,0,0,0,3,3,3,3,3,2,3,0,3,3,3,3,2,3,0,3,3,3,3,2,3,1
591,2001,35,Cugy Tab,35B,,,,,,,12/05/2001,,,,877859,889270,,,5,5,,,,,,0,0,0,,,4,1,1,1,1,1,591,619,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,2,4,1
592,2001,37,Curtilles Prevondens,37A,,,,,,,11/05/2001,,,,,889191,,,6,6,,,,,,,,,,,0,1,,1,0,,,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,2001,43,Dompierre Monney Medart,43,,,,,,,26/03/2001,,,,877821,877925,,,5,5,,,,,,0,0,0,,,5,1,1,1,1,1,593,608,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,3
594,2001,47,Etrabloz,47,,,,,,,03/04/2001,,,,861530,881115,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,590,594,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,6,5,6,3,6,6,6,6,5,6,3,6,6,6,6,5,6,2
595,2001,48,Fetigny,48,,,,,,,16/05/2001,,,,877916,889271,,,5,5,,,,,,3,3,0,,,3,1,1,1,1,1,577,595,,,,1,1,1,1,1,1,1,1,5,2,3,0,3,0,0,0,4,5,2,3,0,3,0,0,0,4,2,2,2,2,1,2,0,2,2,2,2,1,2,0,3,3,3,3,1,3,1
596,2001,50,Forel Gotta,50,,,,,,,05/05/2001,,,,866268,887558,,,8,8,,,,,,0,0,0,,,4,1,1,1,1,1,596,599,,,,1,1,1,1,1,1,1,1,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,6,6,6,6,3,6,1,6,6,6,6,3,6,1,6,6,6,6,3,6,0
597,2001,153,Franex FrèresMoret,153,,,,,,,14/07/2001,,,,,877920,,,4,4,,,,,,,,,,,0,1,,2,0,,,,,,,1,1,,2,1,1,,2,4,4,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,2001,52,Frasses,52B,,,,,,,03/04/2001,,,,871388,877387,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,598,606,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,1
599,2001,57,Grandcour Marcuard,57,,,,,,,09/05/2001,,,,889010,877883,,,5,5,,,,,,0,0,0,,,5,1,1,1,1,1,596,599,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,5,3,5,0,5,5,5,5,3,5,0,5,5,5,5,3,5,1
600,2001,58,Granges Bochet,58B,,,,,,,08/05/2001,,,,877973,877933,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,600,621,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,6,3,6,0,6,6,6,6,3,6,0,6,6,6,6,4,6,0
601,2001,61,Granges-Marnand Nicod30,61,,,,,,,21/04/2001,,,,,,,,,3,,,,,,,,,,,,1,,,0,,601,,,,,1,1,,,1,1,,,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,0
602,2001,62,Granges-Sous-Trey,62B,,,,,,,26/05/2001,,,,889190,883089,,,5,5,,,,,,0,0,0,,,5,1,1,1,0,,602,,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
603,2001,64,Henniez Jaton,64B,,,,,,,04/05/2001,,,,877931,887234,,,8,8,,,,,,0,0,0,,,4,1,1,1,1,1,580,603,,,,1,1,1,1,1,1,1,1,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,7,7,7,5,2,5,0,7,7,7,5,2,5,0,6,6,6,4,2,4,0
604,2001,66,Jeuss,66,,,,,,,12/04/2001,,,,871636,889177,,,4,4,,,,,,0,0,0,,,4,1,1,1,1,1,604,612,,,,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,4,4,4,4,2,4,2,4,4,4,4,2,4,2,4,4,4,4,2,4,2
605,2001,69,Lucens Pra-la-Mort,69B,,,,,,,05/03/2001,,,,868867,889168,,,6,6,,,,,,0,0,0,,,4,1,1,1,0,,605,,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,2
606,2001,70,Lully,70,,,,,,,04/04/2001,,,,877861,877923,,,4,4,,,,,,0,0,0,,,4,1,1,1,1,1,598,606,,,,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,1
607,2001,71,Mannens,71C,,,,,,,14/05/2001,,,,,,,,,4,,,,,,0,,,,,4,1,,,0,,607,,,,,1,1,,,1,1,,,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
608,2001,73,Mauguettaz,73,,,,,,,04/04/2001,,,,877798,877727,,,5,5,,,,,,0,0,0,,,5,1,1,1,1,1,593,608,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,4,5,2,5,5,5,5,4,5,2,5,5,5,5,4,5,0
609,2001,74,Ménières Vieux,74,,,,,,,05/05/2001,,,,889045,871627,,,7,7,,,,,,0,0,0,,,6,1,1,1,1,1,609,625,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,7,7,7,6,2,6,0,7,7,7,6,2,6,0,7,7,7,6,3,6,0
610,2001,76,Missy Village,76A,,,,,,,05/05/2001,,,,877459,889273,,,6,6,,,,,,2,2,0,,,4,1,1,1,1,1,588,610,,,,1,1,1,1,1,1,1,1,6,4,2,0,2,0,0,0,5,6,4,2,0,2,0,0,0,5,4,4,4,4,3,4,0,4,4,4,4,3,4,0,4,4,4,4,4,4,1
611,2001,78,Montagny-les-Monts,78A,,,,,,,25/04/2001,,,,870404,871649,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,611,613,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,4,1,4,1,6,6,6,4,1,4,1,6,6,6,6,3,6,1
612,2001,79,Montet,79B,,,,,,,12/04/2001,,,,877611,889176,,,5,5,,,,,,0,0,0,,,5,1,1,1,1,1,604,612,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
613,2001,81,Morat,81,,,,,,,24/04/2001,,,,,890406,,,5,5,,,,,,,,,,,0,1,,1,1,1,611,613,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,4,4,4,4,2,2,2,0,4,4,4,2,2,2,0,4,4,4,0,0,0,0
614,2001,82,Morens_old,82C,,,,,,,04/04/2001,,,,889131,877921,,,6,6,,,,,,0,0,0,,,5,1,1,1,1,1,584,614,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,5,3,5,1,6,6,6,5,3,5,1,6,6,6,5,3,5,1
615,2001,85,Mur,85,,,,,,,16/05/2001,,,,889252,889253,,,9,9,,,,,,0,0,0,,,4,1,1,1,1,1,582,615,,,,1,1,1,1,1,1,1,1,9,9,0,0,0,0,0,0,8,9,9,0,0,0,0,0,0,8,4,4,4,3,1,3,1,4,4,4,3,1,3,1,4,4,4,4,1,4,0
616,2001,87,MuristHaut Ding,87B,,,,,,,12/05/2001,,,,889432,877111,,,6,6,,,,,,1,1,0,,,5,1,1,1,1,1,585,616,,,,1,1,1,1,1,1,1,1,6,5,1,0,1,0,0,0,5,6,5,1,0,1,0,0,0,5,5,5,5,5,2,5,2,5,5,5,5,2,5,2,5,5,5,5,3,5,3
617,2001,89,Oleyres,89A,,,,,,,10/05/2001,,,,889200,889251,,,7,7,,,,,,0,0,0,,,4,1,1,1,1,1,578,617,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,5,5,5,4,2,4,1,5,5,5,4,2,4,1,5,5,5,4,1,4,0
618,2001,90,Payerne BF,90,,,,,,,15/06/2001,,,,877393,881444,,,8,8,,,,,,0,0,0,,,5,1,1,1,0,,618,,,,,1,1,1,1,1,1,1,1,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,7,7,7,6,0,6,0,7,7,7,6,0,6,0,7,7,7,6,0,6,0
619,2001,91,Payerne Chomiau,91D,,,,,,,16/05/2001,,,,889282,880843,,,8,8,,8,8,8,8,0,0,0,,,6,2,,21,1,1,591,619,,,,1,1,1,1,2,2,1,2,8,8,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,7,8,8,8,6,0,6,0,8,8,8,6,0,6,0,8,8,8,6,2,6,0
620,2001,94,Planches,94A,,,,,,,20/05/2001,,,,889012,889281,,,6,6,,,,,,0,0,0,,,6,1,1,1,1,1,575,620,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,6,6,6,6,3,6,1,6,6,6,6,3,6,1,6,6,6,6,4,6,0
621,2001,96,Prevondavaux,96A,,,,,,,09/05/2001,,,,877004,889016,,,6,6,,,,,,0,0,0,,,4,1,1,1,1,1,600,621,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,4,4,4,4,2,4,0,4,4,4,4,2,4,0,4,4,4,4,1,4,0
622,2001,105,Sauge,105A,,,,,,,06/04/2001,,,,889171,889170,,,5,5,,,,,,0,0,0,,,4,1,1,1,1,1,622,627,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,4,3,4,0,5,5,5,4,3,4,0,5,5,5,4,2,4,0
623,2001,107,Seiry,107,,,,,,,16/04/2001,,,,877724,877722,,,5,5,,,,,,0,0,0,,,2,1,1,1,1,1,576,623,,,,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,2,2,2,2,1,2,0,2,2,2,2,1,2,0,2,2,2,2,0,2,0
624,2001,109,StAubin Geigy,109,,,,,,,30/04/2001,,,,,889254,,,6,6,,,,,,0,0,0,,,5,1,,1,0,,624,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
625,2001,116,Trey,116,,,,,,,06/05/2001,,,,889017,889035,,,6,6,,,,,,0,0,0,,,5,1,1,1,1,1,609,625,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,5,5,5,5,2,5,0,5,5,5,5,2,5,0,5,5,5,5,1,5,0
626,2001,119,Vesin,119A,,,,,,,07/05/2001,,,,877761,877919,,,5,5,,,,,,1,0,1,,,4,1,1,1,1,1,574,626,,,,1,1,1,1,1,1,1,1,5,4,1,0,0,1,0,0,4,5,4,1,0,0,1,0,0,4,3,3,3,3,1,3,0,3,3,3,3,1,3,0,4,4,4,4,2,4,1
627,2001,122,Villeneuve LaVillaire,122A,,,,,,,05/04/2001,,,,877958,877566,,,6,6,,,,,,1,0,1,,,5,1,1,1,1,1,622,627,,,,1,1,1,1,1,1,1,1,6,5,1,0,0,1,0,0,5,6,5,1,0,0,1,0,0,5,5,5,5,5,3,5,0,5,5,5,5,3,5,0,5,5,5,5,4,5,0
628,2001,126,Wallenried F,126,,,,,,,09/05/2001,,,,877674,889178,,,,1,,,,,,,,,,,0,1,1,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,2001,91,Payerne Chomiau,91D,,,,,,,12/04/2001,,,,,880843,Unspecified,15/05/2001,,,5,0,0,0,0,,,,5,,0,1,,1,0,,,,,,,,,,,1,1,,1,5,0,5,0,0,0,5,0,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,2001,224,Essert-Pittet Les Vernes /autoroute,224A,,,,,,,01/01/2001,,,,,867102,,,8,8,,,,,,,,,,,,,,,0,0,,,,,,1,1,,1,1,1,,1,8,8,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,2002,1,Aumont vieux,1C,,,,,,,04/05/2002,,,,889193,877920,,,7,7,,,,,,0,0,0,,,5,1,1,1,1,1,629,653,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,6,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
630,2002,2,Autavaux Moillets,2,,,,,,,03/04/2002,,,,881671,877511,,,3,3,,,,,,0,0,0,,,3,1,4,1,1,1,630,662,,,,1,1,1,1,1,1,2,2,3,3,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,2,3,3,3,3,1,3,0,3,3,3,3,1,3,0,3,3,3,3,1,3,0
631,2002,3,Autavaux TV,3A,,,,,,,23/03/2002,,,,881671,877511,Unspecified,26/04/2002,,2,2,,,,,,,,2,,,1,4,1,0,0,631,,,,,,,,,1,1,1,1,2,0,2,0,0,0,2,0,1,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,2002,3,Autavaux TV,3A,,,,,,,29/04/2002,,,,881671,889559,,,5,5,,,,,,,,,,,3,2,4,1,1,,632,696,,,,1,1,2,1,2,2,3,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,3,3,3,3,0,3,0,3,3,3,3,0,3,0,3,3,3,3,0,3,0
633,2002,5,Avenches Paquis,5,,,,,,,19/04/2002,,,,877915,889580,,,6,6,,,,,,1,1,0,,,5,1,1,1,1,1,633,640,,,,1,1,1,1,1,1,1,1,6,5,1,0,1,0,0,0,5,6,5,1,0,1,0,0,0,5,4,4,4,4,1,4,0,4,4,4,4,1,4,0,5,5,5,5,1,5,0
634,2002,7,Avenches Russalet,7,,,,,,,27/03/2002,,,,889504,877938,,,6,6,,,,,,0,0,0,,,5,1,1,1,1,1,634,673,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,5,5,5,5,1,5,0,5,5,5,5,1,5,0,5,5,5,5,0,5,0
635,2002,8,Avenches Vuagere,8B,,,,,,,16/04/2002,,,,889376,889313,,,6,6,,,,,,,,,,,0,1,1,1,0,,635,,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,5,3,3,3,0,0,0,0,3,3,3,0,0,0,0,3,3,3,0,0,0,0
636,2002,9,Bellechasse,9A,,,,,,,26/03/2002,,,,877927,886258,,,7,7,,,,,,1,1,0,,,5,1,1,1,1,1,636,713,,,,1,1,1,1,1,1,1,1,7,6,1,0,1,0,0,0,6,7,6,1,0,1,0,0,0,6,5,5,5,3,2,3,0,5,5,5,3,2,3,0,5,5,5,5,2,5,0
637,2002,10,Bellechasse Erlenhof,10,,,,,,,15/05/2002,,,,,,,,,4,,,,,,,,,,,0,1,,,0,,,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
